name,image,hangul,romanization,katakana,origin,genres,debut,disbanded,years_active,label,associated,members_current,members_former,website,sns,fandom,colors,related,other_names,group_name,link,type,gender,youtube_data,youtube_subscribers,youtube_videos,sns_parsed,youtube_link
AQUA,https://static.wikia.nocookie.net/kpop/images/e/e9/AQUA_Log_In_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20181117034856,아쿠아,,,"Seoul, South Korea",Pop,"November 17, 2018",c. 2019,2018–2019,KRAZY Entertainment,,[],"['Hyeonju', 'Sua', 'Haesol', 'Seungji', 'Sihyeon', 'Hyerim']",['http://www.actozstars.com/aqua'],[],,,Produce 101 Wiki,,AQUA,https://kpop.fandom.com/wiki/AQUA,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
AREAL,https://static.wikia.nocookie.net/kpop/images/d/da/AReal_group_profile_photo_Fantasy_ver..png/revision/latest/scale-to-width-down/350?cb=20200725022643,에이리얼,,,South Korea,"Dance, hip hop","August 21, 2020","February 26, 2021",2020–2021,JZ Factory Entertainment,,[],"['Hyebin', 'Areum', 'Segye', 'Dabi']",[],"['http://cafe.daum.net/official-AREAL', 'https://www.facebook.com/OfficialAreal', 'https://www.instagram.com/areal_official/', 'https://twitter.com/official_AREAL', 'https://www.youtube.com/channel/UCceK0cN0LfKmtGNrGIE4Z3Q']",4REAL (포리얼),,,A-Real,AREAL,https://kpop.fandom.com/wiki/AREAL,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['http://cafe.daum.net/official-AREAL', 'https://www.facebook.com/OfficialAreal', 'https://www.instagram.com/areal_official/', 'https://twitter.com/official_AREAL', 'https://www.youtube.com/channel/UCceK0cN0LfKmtGNrGIE4Z3Q']",https://www.youtube.com/channel/UCceK0cN0LfKmtGNrGIE4Z3Q
ARIA,https://static.wikia.nocookie.net/kpop/images/9/9c/ARIA_group_profile_photo.png/revision/latest/scale-to-width-down/350?cb=20231215230114,아리아,,,South Korea,Fusion,"December 1, 2011",c. 2012,2011–2012,Top Made Entertainment,,"['Song Ji Hyun', 'Shin Song Yi', 'Jeon Ji Eun', 'Kim Se A', 'Lee Mo A']",[],[],[],,,,,ARIA (group),https://kpop.fandom.com/wiki/ARIA_(group),group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
ARIAZ,https://static.wikia.nocookie.net/kpop/images/7/71/ARIAZ_Hot_%26_Cold_%282021%29_album_cover.png/revision/latest/scale-to-width-down/350?cb=20211001005511,아리아즈,,,"Seoul, South Korea",,"October 24, 2019",2022,2016–2022,Rising Star Entertainment (2019–2022) Star Empire Entertainment (2016–2019),,[],"['DaWon', 'SiHyeon', 'YunJi', 'YeoRi', 'HyoGyeong', 'JuEun']",[],"['https://www.facebook.com/ARIAZ-100929267949283', 'https://www.instagram.com/ariaz.official/', 'https://www.tiktok.com/@ariaz_official', 'https://twitter.com/official_ARIAZ', 'https://www.youtube.com/channel/UCczq4fRpRvn--65MzYZEoWA']",AJJEU (아쯔),,Produce 101 Wiki • ARIAZ Wiki,Empire Girls (엠파이어걸스) (pre-debut) Star Empire Girls (pre-debut) OMZM (올망졸망) (pre-debut),ARIAZ,https://kpop.fandom.com/wiki/ARIAZ,group,female,"{'subscribers': 22300, 'top_videos': []}",22300.0,[],"['https://www.facebook.com/ARIAZ-100929267949283', 'https://www.instagram.com/ariaz.official/', 'https://www.tiktok.com/@ariaz_official', 'https://twitter.com/official_ARIAZ', 'https://www.youtube.com/channel/UCczq4fRpRvn--65MzYZEoWA']",https://www.youtube.com/channel/UCczq4fRpRvn--65MzYZEoWA
Ariel,https://static.wikia.nocookie.net/kpop/images/c/c9/Ariel_2024_group_photo_1.png/revision/latest/scale-to-width-down/350?cb=20240422143236,아리엘,,,South Korea,Popera,"January 14, 2020",,2020–present,LCOMPANY,,"['Yiseul', 'Eunu', 'Yunna', 'Minjin']","['Jinju', 'Yujin']",[],"['https://www.instagram.com/popera_ariel/', 'https://www.youtube.com/channel/UC-DHWiJZbNQSUCtN7OjuXSQ']",,,,,Ariel,https://kpop.fandom.com/wiki/Ariel,group,female,"{'subscribers': 1060, 'top_videos': []}",1060.0,[],"['https://www.instagram.com/popera_ariel/', 'https://www.youtube.com/channel/UC-DHWiJZbNQSUCtN7OjuXSQ']",https://www.youtube.com/channel/UC-DHWiJZbNQSUCtN7OjuXSQ
ARTBEAT v,https://static.wikia.nocookie.net/kpop/images/f/f5/ARTBEAT_v_Dubi_Dubi_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20230810120131,아트비트,,,"Seoul, South Korea",,"November 16, 2022",,2022–present,AB Creative UniqueTunes Records,,"['Yubin', 'Seyoung', 'Yoojin', 'Gaeun', 'Haeun']","['Damhee', 'Sieun']",[],"['https://twitter.com/ARTBEAT_v', 'https://www.youtube.com/@artbeat.official']",ABLE,,,ARTBEAT,ARTBEAT v,https://kpop.fandom.com/wiki/ARTBEAT_v,group,female,"{'subscribers': 4720000, 'top_videos': []}",4720000.0,[],"['https://twitter.com/ARTBEAT_v', 'https://www.youtube.com/@artbeat.official']",https://www.youtube.com/@artbeat.official
ARTMS,https://static.wikia.nocookie.net/kpop/images/2/2c/ARTMS_Dall_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20240518074025,아르테미스,,アルテミス,South Korea,,"May 31, 2024",,2023–present,MODHAUS,LOONA ODD EYE CIRCLE,"['JinSoul', 'HaSeul', 'Kim Lip', 'HeeJin', 'Choerry']",[],['https://artms-strategy.com'],"['https://www.instagram.com/official_artms/', 'https://www.tiktok.com/@official_artms', 'https://twitter.com/official_artms', 'https://www.youtube.com/@official_artms']",OURII (울이) [1],ARTMS Blue ARTMS Purple,LOOΠΔ Wiki,Artemis Strategy,ARTMS,https://kpop.fandom.com/wiki/ARTMS,group,female,"{'subscribers': 938000, 'top_videos': []}",938000.0,[],"['https://www.instagram.com/official_artms/', 'https://www.tiktok.com/@official_artms', 'https://twitter.com/official_artms', 'https://www.youtube.com/@official_artms']",https://www.youtube.com/@official_artms
As One,https://static.wikia.nocookie.net/kpop/images/e/e3/AS1_Hey_Ya%21_promotional_photo.png/revision/latest/scale-to-width-down/333?cb=20170507134601,,,,Hong Kong,"Cantopop, K-pop",,,2012–2016,Sun Entertainment Culture (Hong Kong) Chorokbaemjuna E&M (Korea),,[],"['Oli', 'Elfa', 'Nata', 'Shin', 'Chloe', 'Kayan']",[],[],,,,,As One (group),https://kpop.fandom.com/wiki/As_One_(group),group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
ASHA,https://static.wikia.nocookie.net/kpop/images/c/c3/ASHA_Mr._Lair_promotional_photo.png/revision/latest/scale-to-width-down/350?cb=20241103031334,,,,South Korea,"July 15, 2015",,,2015–2016,CM Entertainment,,[],"['Daae', 'Yoha', 'Nara', 'Hyuna']",[],[],,,,,ASHA,https://kpop.fandom.com/wiki/ASHA,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
Asia girlS,https://static.wikia.nocookie.net/kpop/images/c/c2/Asia_girlS_Bet_promotional_photo.png/revision/latest/scale-to-width-down/350?cb=20211226120324,아시아걸즈,Asiageoljeu ( RR ) Asiakŏljŭ ( M-R ),,South Korea,"Dance, pop","November 18, 2021",,2021–present,AS Entertainment,,"['YZZI', 'Soyeon', 'Kaeun']",[],[],[],,,,,Asia girlS,https://kpop.fandom.com/wiki/Asia_girlS,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
Asome.D,https://static.wikia.nocookie.net/kpop/images/b/b2/Asome.D_Funny_Gotcha_promotional_photo.png/revision/latest/scale-to-width-down/350?cb=20201019091746,에이썸디,Eisseomdi ( RR Eisamudī ( Rōmaji ),エイサムディー,South Korea,Dance pop,"January 27, 2020 (Japan) October 19, 2020 (Korea)",,2016–present,WinPlus (Japan) DY Entertainment (Korea),dsomeb,"['Nahyun', 'DaDa', 'Zi.L']",[],['https://www.asomed-jp.com/'],"['https://www.instagram.com/asome.d_official/', 'https://www.tiktok.com/@asomed', 'https://twitter.com/d_asome', 'https://www.instagram.com/asome.d_japan/', 'https://twitter.com/AsomeD_japan']",,,,,Asome.D,https://kpop.fandom.com/wiki/Asome.D,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.instagram.com/asome.d_official/', 'https://www.tiktok.com/@asomed', 'https://twitter.com/d_asome', 'https://www.instagram.com/asome.d_japan/', 'https://twitter.com/AsomeD_japan']",
Astell,https://static.wikia.nocookie.net/kpop/images/e/e0/Astell_Island_group_concept_photo_%283%29.png/revision/latest/scale-to-width-down/350?cb=20240709083057,아스텔,,,South Korea,"Dance, pop","July 9, 2024","December 20, 2024",2024,Errday (2024),,[],"['IKnow', 'Lynee', 'Byeoljji', 'Marina']",[],"['https://www.instagram.com/astell.official/', 'https://twitter.com/ASTELL_official', 'https://www.youtube.com/@astell-official']",,,,,Astell,https://kpop.fandom.com/wiki/Astell,group,female,"{'subscribers': 2860, 'top_videos': []}",2860.0,[],"['https://www.instagram.com/astell.official/', 'https://twitter.com/ASTELL_official', 'https://www.youtube.com/@astell-official']",https://www.youtube.com/@astell-official
AtHeart,https://static.wikia.nocookie.net/kpop/images/2/21/AtHeart_GoodGirl_AtHeart_announcement_poster.png/revision/latest/scale-to-width-down/350?cb=20250221112547,앳하트,,アットハート,,,July 2025,,2024–present,TITAN CONTENT Imperial Music (US) [1],,"['Michi', 'Arin', 'Katelyn', 'Bome', 'Seohyeon', 'Aurora', 'Nahyun']",[],['https://atheart.me'],"['https://www.facebook.com/atheart.me', 'https://www.instagram.com/atheart.me/', 'https://twitter.com/atheart_me', 'https://www.weibo.com/7915454806', 'https://www.youtube.com/@AtHeart.official']",,,,,AtHeart,https://kpop.fandom.com/wiki/AtHeart,group,female,"{'subscribers': 13500, 'top_videos': []}",13500.0,[],"['https://www.facebook.com/atheart.me', 'https://www.instagram.com/atheart.me/', 'https://twitter.com/atheart_me', 'https://www.weibo.com/7915454806', 'https://www.youtube.com/@AtHeart.official']",https://www.youtube.com/@AtHeart.official
ATT,https://static.wikia.nocookie.net/kpop/images/8/89/ATT_Temptation_promo_photo_1.png/revision/latest/scale-to-width-down/350?cb=20220212185047,에이티티,Eititi ( RR ),,"Daegu, South Korea",Dance,"October 20, 2015",2016,2015–2016,Broad Entertainment,,[],"['Se Bi', 'Seo Hee', 'Se Yeon', 'A Young', 'Yu Jeong']",[],"['http://cafe.daum.net/LOVEATT', 'https://www.facebook.com/broad.att', 'https://www.instagram.com/broad_att/', 'https://twitter.com/broad_att', 'https://www.youtube.com/channel/UCtjbbgfaiee0XA2eYiGni-g']",,,,,ATT,https://kpop.fandom.com/wiki/ATT,group,female,"{'subscribers': 420, 'top_videos': []}",420.0,[],"['http://cafe.daum.net/LOVEATT', 'https://www.facebook.com/broad.att', 'https://www.instagram.com/broad_att/', 'https://twitter.com/broad_att', 'https://www.youtube.com/channel/UCtjbbgfaiee0XA2eYiGni-g']",https://www.youtube.com/channel/UCtjbbgfaiee0XA2eYiGni-g
ATTI,https://static.wikia.nocookie.net/kpop/images/6/6a/ATTI_group_profile_photo_3.png/revision/latest/scale-to-width-down/333?cb=20230825171730,아띠,,,"London, United Kingdom",,"October 6, 2023",,2023-present,Independent,,"['Coco', 'Nicole', 'Chunseo']",[],[],"['https://www.facebook.com/attiofficial_', 'https://www.instagram.com/attiofficial_/', 'https://www.tiktok.com/@attiofficial_', 'https://twitter.com/attiofficial_', 'https://www.youtube.com/@ATTIOFFICIAL']",,,,,ATTI,https://kpop.fandom.com/wiki/ATTI,group,female,"{'subscribers': 10400, 'top_videos': []}",10400.0,[],"['https://www.facebook.com/attiofficial_', 'https://www.instagram.com/attiofficial_/', 'https://www.tiktok.com/@attiofficial_', 'https://twitter.com/attiofficial_', 'https://www.youtube.com/@ATTIOFFICIAL']",https://www.youtube.com/@ATTIOFFICIAL
ATTRAKT new girl group,,,,,"Seoul, South Korea",,,,2023–present,ATTRAKT,,[],[],[],[],,,,,ATTRAKT new girl group,https://kpop.fandom.com/wiki/ATTRAKT_new_girl_group,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
Aurora,https://static.wikia.nocookie.net/kpop/images/3/35/Aurora_%EB%94%B0%EB%94%B0%EB%B8%94_group_promo_photo_%281%29.png/revision/latest/scale-to-width-down/350?cb=20210603060502,오로라,,,South Korea,"Dance, pop, trot","February 23, 2010",,2010–present,Hwa Entertainment (current) High Star Entertainment (former) Jade Entertainment (former),,"['Hwanghoo', 'Minjung', 'Miu']","['Eunseol', 'Qura', 'Yeonji', 'Sunyoung', 'Jungeun', 'Geomji', 'Minjeong', 'Shinhee', 'Jiwon', 'Ayoung', 'Nayoung', 'Taeeun', 'Soran', 'Yoonhee', 'Yuju', 'Suyeon', 'Seulgi(Jiho)', 'Aeri', 'Seoeun', 'Yoonju', 'Joa']",[],"['http://cafe.daum.net/AuroraNdawn', 'https://www.instagram.com/s2.aurora/']",,,,,Aurora (group),https://kpop.fandom.com/wiki/Aurora_(group),group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['http://cafe.daum.net/AuroraNdawn', 'https://www.instagram.com/s2.aurora/']",
Awe5some Baby,https://static.wikia.nocookie.net/kpop/images/6/67/Awe5ome_Baby_group_photo.png/revision/latest/scale-to-width-down/350?cb=20210110010824,어썸 베이비,,,South Korea,"Dance, pop","June 15, 2015","December 4, 2016",2015–2016,TN Entertainment,,[],"['June', 'Sumin', 'Yechan', 'Dahee', 'Lina']",[],"['http://cafe.daum.net/AweSomeBaby', 'https://www.facebook.com/awesomebabypage', 'https://www.instagram.com/awe5omebaby/', 'https://twitter.com/Awe5omeBaby', 'https://www.youtube.com/channel/UCz4t2X_Wnb7VSUbaoSbQGlg']",,,,Awesome Baby,Awe5ome Baby,https://kpop.fandom.com/wiki/Awe5ome_Baby,group,female,"{'subscribers': 2330, 'top_videos': []}",2330.0,[],"['http://cafe.daum.net/AweSomeBaby', 'https://www.facebook.com/awesomebabypage', 'https://www.instagram.com/awe5omebaby/', 'https://twitter.com/Awe5omeBaby', 'https://www.youtube.com/channel/UCz4t2X_Wnb7VSUbaoSbQGlg']",https://www.youtube.com/channel/UCz4t2X_Wnb7VSUbaoSbQGlg
AWESOME,https://static.wikia.nocookie.net/kpop/images/c/c0/AWESOME_Topping_Girl_group_promo_photo_%283%29.png/revision/latest/scale-to-width-down/350?cb=20180805094944,,,,South Korea,Dance pop,"February 16, 2017",c. late 2018/early 2019,2017-2018,Midum Entertainment,,[],"['Bada', 'Youri', 'Chealin', 'BeatYou']",[],"['https://www.facebook.com/awesome.kr', 'https://www.instagram.com/awesome__official/', 'https://www.youtube.com/channel/UCi459hDzl1yanJqla0P6jiQ']",,,,,AWESOME (group),https://kpop.fandom.com/wiki/AWESOME_(group),group,female,"{'subscribers': 316, 'top_videos': []}",316.0,[],"['https://www.facebook.com/awesome.kr', 'https://www.instagram.com/awesome__official/', 'https://www.youtube.com/channel/UCi459hDzl1yanJqla0P6jiQ']",https://www.youtube.com/channel/UCi459hDzl1yanJqla0P6jiQ
Azer,https://static.wikia.nocookie.net/kpop/images/1/12/Azer_Trouble_concept_photo.png/revision/latest/scale-to-width-down/350?cb=20220411155728,아째르,,,"Gunsan, South Korea",,"March 4, 2021",,2021–present,,Azer Blossom Kairos A-plus Z.peline,"['Park Soyeon', 'Jang Juyeon', 'Nam Mijeong', 'Kang Yukyung', 'Lee Jaein', 'Kim Minseo', 'Choi Yujin']",[],[],['https://www.instagram.com/azer.official_/'],,,,,Azer,https://kpop.fandom.com/wiki/Azer,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://www.instagram.com/azer.official_/'],
Azer Blossom,https://static.wikia.nocookie.net/kpop/images/a/af/Azer_Blossom_Focus_On_Me_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20230125013513,아째르 블라썸,,,"Gunsan, South Korea",,"September 1, 2021",c. early 2022,2021–2022,,Azer Kairos A-plus,[],"['Hwang Yejin', 'Baek Jihyun', 'Park Siwoo', 'Jeong Myeongwoo', 'Choi Minkyung', 'Yoo Minha', 'Kim Seohyun']",[],['https://www.facebook.com/Azer-Blossom-101443982256713'],,,,Azer-Blossom,Azer Blossom,https://kpop.fandom.com/wiki/Azer_Blossom,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://www.facebook.com/Azer-Blossom-101443982256713'],
AZM,https://static.wikia.nocookie.net/kpop/images/e/e0/AZM_group_profile_photo_2019.png/revision/latest/scale-to-width-down/350?cb=20190320204417,,,,"Seoul, South Korea",Pop,"March 2, 2018",c. 2019,2018–2019,Innok Entertainment,,[],"['Eun Ji', 'Lok', 'Ye Jin', 'You Kyung', 'Su Hyun', 'Sowon']",[],"['https://www.facebook.com/innokent2', 'https://www.instagram.com/azm_official_/', 'https://twitter.com/AZM_official_']",,,,A.Z.M,AZM,https://kpop.fandom.com/wiki/AZM,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.facebook.com/innokent2', 'https://www.instagram.com/azm_official_/', 'https://twitter.com/AZM_official_']",
B Girls,https://static.wikia.nocookie.net/kpop/images/9/96/B_Girls_Blue_Fire_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20190925104007,,,,South Korea,Pop,"January 12, 2018",c. 2018,2018,Digital Record,,[],"['Song Hajung', 'Ha Yera', 'Mung Mimi', 'Ji Ningnim', 'Dami Unni']",[],[],,,,,B Girls,https://kpop.fandom.com/wiki/B_Girls,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
B-OURS,https://static.wikia.nocookie.net/kpop/images/6/6d/B-OURS_Be_Ur_Girl_digital_album_cover.png/revision/latest/scale-to-width-down/350?cb=20240605031513,비아워즈,,,"Seoul, South Korea","Dance, hip-hop","May 23, 2024",,2022–present,Wannabe Entertainment,,"['Seyeon', 'Subin', 'Sunwoo', 'Chaeeun']",[],[],"['https://www.facebook.com/100087971234629', 'https://www.instagram.com/b_ours._official_/', 'https://www.youtube.com/channel/@b-ours']",,,,You Should Be Yours,B-OURS,https://kpop.fandom.com/wiki/B-OURS,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.facebook.com/100087971234629', 'https://www.instagram.com/b_ours._official_/', 'https://www.youtube.com/channel/@b-ours']",https://www.youtube.com/channel/@b-ours
B.Dolls,https://static.wikia.nocookie.net/kpop/images/a/ac/B.Dolls_December_2010_profile_photo_1.png/revision/latest/scale-to-width-down/350?cb=20240930063255,비돌스,,,South Korea,Dance,"August 27, 2010",c. 2011,2010–2011,Harvest International,,[],"['Seungjoo', 'Geunyoung', 'Hayeon', 'Taeyoon', 'Yewon', 'Seo I']",[],['https://www.facebook.com/BDolls-100067377464528'],,,,Bustling Dolls (버슬링돌스),B.Dolls,https://kpop.fandom.com/wiki/B.Dolls,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://www.facebook.com/BDolls-100067377464528'],
B.GLAM,https://static.wikia.nocookie.net/kpop/images/1/15/B.GLAM_2018_profile_photo.png/revision/latest/scale-to-width-down/350?cb=20240419132134,비글램,,,"Seoul, South Korea",,,2019,2014-2019,Frientree Entertainment (2014-2015) AVEC Entertainment (2016-2019),,[],"['SaeA', 'Jisun', 'Vivi', 'Kanna', 'Rua', 'Hayoung', 'Lili', 'Jay', 'Issyu', 'Hyeyeon']",[],['https://www.facebook.com/BGLAM.avec'],,,,Barbie Girls (바비걸스),B.GLAM,https://kpop.fandom.com/wiki/B.GLAM,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://www.facebook.com/BGLAM.avec'],
B.L.E,https://static.wikia.nocookie.net/kpop/images/f/f0/B.L.E_Jump_It_Up_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20220227185612,비엘이,,,"Seoul, South Korea",,"October 2, 2021",,2021–present,Kids Planet ON1 Entertainment 4D Lable,,['Moon Hyuna'],"['Yoon Seonah', 'Park Hyoin']",[],[],,,,,B.L.E,https://kpop.fandom.com/wiki/B.L.E,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
BaBa,https://static.wikia.nocookie.net/kpop/images/a/a7/BaBa_Yeppeojilgeoya_group_concept_photo_%283%29.png/revision/latest/scale-to-width-down/350?cb=20200706071513,바바,,,"Seoul, South Korea",Dance pop,"March 24, 2015","June 20, 2020",2015–2020,PR Entertainment,,[],"['Somi (Bomi)', 'Byulha', 'Somi (Bimby)', 'Dayul', 'Hyoah', 'Seoae', 'Jinri', 'Seoli', 'Saei', 'Somi (Hyewon)', 'Roha', 'Maum', 'Seungha', 'Hanbom', 'Johwa (Minji)', 'Seyul', 'Pureum', 'Starlight', 'Sooreem', 'Chaeha', 'Johwa (Yujin)']",[],"['https://www.instagram.com/_t__y_5/', 'https://www.facebook.com/babaofficial225', 'https://twitter.com/babaofficial225', 'https://www.youtube.com/channel/UCP7XS16DtkhYZeGq3DCxl1g']",Ttu-ttu (뚜뚜),,,,BaBa,https://kpop.fandom.com/wiki/BaBa,group,female,"{'subscribers': 643, 'top_videos': []}",643.0,[],"['https://www.instagram.com/_t__y_5/', 'https://www.facebook.com/babaofficial225', 'https://twitter.com/babaofficial225', 'https://www.youtube.com/channel/UCP7XS16DtkhYZeGq3DCxl1g']",https://www.youtube.com/channel/UCP7XS16DtkhYZeGq3DCxl1g
Baby Boo,https://static.wikia.nocookie.net/kpop/images/2/2a/Baby_Boo_Ring_Ring_Ring_group_concept_photo.png/revision/latest/scale-to-width-down/350?cb=20200622125439,,,,"Seoul, South Korea",Pop,"June 5, 2015",c. 2020,2015–2020,Hyunda Company,DAHLIA,[],"['Soli', 'Jelly', 'Shine', 'Ha One', 'Daon', 'Chaei', 'Sehee', 'Dabin', 'Hajin', 'Jiyouni', 'Hyo Kyung']",[],[],MayBoo (메이부),,,Babyboo,Baby Boo,https://kpop.fandom.com/wiki/Baby_Boo,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
Baby V.O.X,https://static.wikia.nocookie.net/kpop/images/c/c7/Baby_V.O.X_Ride_West_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20200907030647,베이비복스,,ベイビーボックス,South Korea,"K-pop, J-pop","July 3, 1997","February 5, 2006",1997–2006; 2024–present,DR Music (1997-2004),,[],"['Lee Gai', 'Jeong Hyeon Jeon', 'Jung Si Woon', 'Kim E-Z', 'Lee Hee Jin', 'Cha Yu Mi', 'Shim Eun Jin', 'Kan Miyoun', 'Yoon Eun Hye']",[],[],Baby Angels (베이비 엔젤스),Pearl Pink,,,Baby V.O.X (group),https://kpop.fandom.com/wiki/Baby_V.O.X_(group),group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
Baby V.O.X Re.V,https://static.wikia.nocookie.net/kpop/images/a/ae/Baby_V.O.X_Re.V_I_Believe_group_concept_photo.png/revision/latest/scale-to-width-down/350?cb=20211218232526,베이비복스 리브,,,"Chilgok-gun, Gyeongsangbuk-do, South Korea","Dance, pop, R&B","January 26, 2007",c. 2009,2007-2009,DR Music,,[],"['An Jinkyoung', 'Yang Eunji', 'Han Aeri', 'Hwang Yeonkyoung', 'Oh Minjin', 'Myung Sarang', 'Park Sori']",[],['http://cafe.daum.net/BABYVOXREV'],Second Wing,Pink,,Baby V.O.X,Baby V.O.X Re.V,https://kpop.fandom.com/wiki/Baby_V.O.X_Re.V,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],['http://cafe.daum.net/BABYVOXREV'],
BABYMONSTER,https://static.wikia.nocookie.net/kpop/images/8/87/BABYMONSTER_Drip_visual_teaser.png/revision/latest/scale-to-width-down/350?cb=20241022163928,베이비몬스터,,ベイビーモンスター,"Seoul, South Korea",,"November 27, 2023 (as six) April 1, 2024 (Official)",,2023–present,YG Entertainment,,"['Ruka', 'Pharita', 'Asa', 'Ahyeon', 'Rami', 'Rora', 'Chiquita']",[],"['https://www.ygfamily.com/en/artists/babymonster/main', 'https://yg-babymonster-official.jp/']","['https://discord.com/invite/ygbabymonster/', 'https://www.facebook.com/BABYMONSTER.ygofficial', 'https://www.instagram.com/babymonster_ygofficial/', 'https://www.tiktok.com/@babymonster_yg_tiktok', 'https://twitter.com/YGBABYMONSTER_', 'https://www.weverse.io/babymonster/artistpedia', 'https://www.youtube.com/@BABYMONSTER', 'https://twitter.com/_BABYMONSTER_JP', 'https://space.bilibili.com/3493127232948989', 'https://www.weibo.com/7811488144']",MONSTIEZ (‪몬스티즈‬) [1],,BABYMONSTER Wiki,BAEMON (배몬) BABYMON (베이비몬) BABYMONSTERS (베이비몬스터즈),BABYMONSTER,https://kpop.fandom.com/wiki/BABYMONSTER,group,female,"{'subscribers': 8580000, 'top_videos': []}",8580000.0,[],"['https://discord.com/invite/ygbabymonster/', 'https://www.facebook.com/BABYMONSTER.ygofficial', 'https://www.instagram.com/babymonster_ygofficial/', 'https://www.tiktok.com/@babymonster_yg_tiktok', 'https://twitter.com/YGBABYMONSTER_', 'https://www.weverse.io/babymonster/artistpedia', 'https://www.youtube.com/@BABYMONSTER', 'https://twitter.com/_BABYMONSTER_JP', 'https://space.bilibili.com/3493127232948989', 'https://www.weibo.com/7811488144']",https://www.youtube.com/@BABYMONSTER
Babys,https://static.wikia.nocookie.net/kpop/images/6/6c/Babys_group_profile_photo_%28July_2023%29.png/revision/latest/scale-to-width-down/350?cb=20230713011929,베이비스,,,South Korea,,"June 20, 2023",,2020–present,Independent,,"['Seoyu', 'Yeseo', 'Suyeon']",[],[],"['https://www.instagram.com/babys_kr/', 'https://www.tiktok.com/@babys_kr', 'https://twitter.com/babys_kr', 'https://www.youtube.com/@babys_kr']",,,,,Babys,https://kpop.fandom.com/wiki/Babys,group,female,"{'subscribers': 2300, 'top_videos': []}",2300.0,[],"['https://www.instagram.com/babys_kr/', 'https://www.tiktok.com/@babys_kr', 'https://twitter.com/babys_kr', 'https://www.youtube.com/@babys_kr']",https://www.youtube.com/@babys_kr
BADKIZ,https://static.wikia.nocookie.net/kpop/images/f/fb/BADKIZ_2024_group_profile_photo_1.png/revision/latest/scale-to-width-down/350?cb=20240825145238,배드키즈 핫플레이스 (2019–2020),,,"Seoul, South Korea",Pop,"March 24, 2014 (as BADKIZ) March 29, 2019 (as HOT PLACE)","October 14, 2020 (initial)","2014–2020, 2022–present",US Entertainment (2020) LOUD-ers Entertainment (2019-2020) ZOO Entertainment (2014–2019),,[],"['Duna', 'Monika', 'Lua', 'Haneul', 'BomBom', 'Jina', 'Yoomin', 'Yeunji', 'Lohee', 'K.Me', 'Eunjoo', 'Sol.B', 'Semi', 'Hana', 'Hayoung', 'Sihyun', 'Taeri', 'Rawhi', 'Somin', 'Rosy', 'Soyee', 'Yousi', 'Harin', 'Hyeji', 'Yeso']",[],"['http://cafe.daum.net/BADKIZ', 'https://www.instagram.com/_badkiz_official/', 'https://twitter.com/Badkiz_Official', 'https://www.youtube.com/user/badkiz2014']",GOODKIZ (굿키즈),,,HOT PLACE (2019–2020),BADKIZ,https://kpop.fandom.com/wiki/BADKIZ,group,female,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['http://cafe.daum.net/BADKIZ', 'https://www.instagram.com/_badkiz_official/', 'https://twitter.com/Badkiz_Official', 'https://www.youtube.com/user/badkiz2014']",https://www.youtube.com/user/badkiz2014
